model_id,task_id,signature,n,k_passed,pass_rate,wilson_lo,wilson_hi,effect_size_mean,effect_size_sd,unstable,n_untestable,n_attempted,note
kimi-k2.5,phishing_detection_v2,practice_rt_speedup,10,1,0.1,0.0179,0.4042,0.1014,0.1689,True,0,10,
kimi-k2.5,random_dot_motion_v2,above_chance_low_coherence,8,0,0.0,0.0,0.3244,-0.0426,0.1018,False,2,10,
kimi-k2.5,random_dot_motion_v2,above_chance_overall,10,0,0.0,0.0,0.2775,-0.0293,0.0956,False,0,10,
kimi-k2.5,random_dot_motion_v2,coherence_accuracy_psychometric,9,1,0.1111,0.0199,0.435,0.0166,0.1628,True,1,10,
kimi-k2.5,random_dot_motion_v2,coherence_rt_chronometric,7,0,0.0,0.0,0.3543,0.2399,0.2781,False,3,10,
kimi-k2.5,repeated_games,above_chance_coordination_bos,7,1,0.1429,0.0257,0.5131,0.0619,0.1799,True,3,10,
kimi-k2.5,repeated_games,cooperation_when_opp_cooperated,4,4,1.0,0.5101,1.0,0.5,0.0,False,6,10,
kimi-k2.5,repeated_games,round_rt_speedup,10,1,0.1,0.0179,0.4042,-0.033,0.2735,True,0,10,
kimi-k2.5,repeated_games,tit_for_tat_reciprocity_pd,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
kimi-k2.5,serial_recall_v2,above_chance_recall,7,2,0.2857,0.0822,0.6411,0.0661,0.1371,True,3,10,
kimi-k2.5,serial_recall_v2,high_vs_low_sim_advantage,6,0,0.0,0.0,0.3903,-0.0833,0.1291,False,4,10,
kimi-k2.5,serial_recall_v2,primacy_effect,6,0,0.0,0.0,0.3903,0.1875,0.1046,False,4,10,
kimi-k2.5,serial_recall_v2,similarity_aids_recall,5,0,0.0,0.0,0.4345,-0.0713,0.1985,False,5,10,
kimi-k2.5,serial_recall_v2,similarity_rt_effect,6,0,0.0,0.0,0.3903,0.093,0.2155,False,4,10,
kimi-k2.5,tiny_alchemy,above_chance_discovery,5,2,0.4,0.1176,0.7693,0.2942,0.1475,True,5,10,
kimi-k2.5,tiny_alchemy,non_redundant_attempts,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
kimi-k2.5,visual_recognition,above_chance_accuracy,9,0,0.0,0.0,0.2992,-0.0104,0.0745,False,1,10,
kimi-k2.5,visual_recognition,above_chance_discrimination,9,0,0.0,0.0,0.2992,0.0399,0.0818,False,1,10,
kimi-k2.5,visual_recognition,low_false_alarm_rate,8,3,0.375,0.1368,0.6943,0.0594,0.4879,True,2,10,
qwen3-vl-235b-instruct,effort_foraging,above_chance_mvt_match,8,0,0.0,0.0,0.3244,-0.3966,0.1555,False,0,8,
qwen3-vl-235b-instruct,effort_foraging,above_chance_total_reward,2,0,0.0,0.0,0.6576,-0.1368,0.2307,False,6,8,
qwen3-vl-235b-instruct,effort_foraging,harvest_rt_speedup,8,1,0.125,0.0224,0.4709,0.0393,0.2393,True,0,8,
qwen3-vl-235b-instruct,effort_foraging,travel_cost_residence_effect,1,0,0.0,0.0,0.7935,0.0,0.0,False,7,8,
qwen3-vl-235b-instruct,grid_bandit,above_chance_reward,9,3,0.3333,0.1206,0.6458,0.052,0.2484,True,1,10,
qwen3-vl-235b-instruct,grid_bandit,kraken_avoidance_in_risky,8,2,0.25,0.0715,0.5907,-0.0638,0.2807,True,2,10,
qwen3-vl-235b-instruct,grid_bandit,value_directed_exploitation,10,7,0.7,0.3968,0.8922,-0.2238,0.2039,True,0,10,
qwen3-vl-235b-instruct,grid_bandit,within_block_learning,10,1,0.1,0.0179,0.4042,0.0911,0.0623,True,0,10,
qwen3-vl-235b-instruct,grid_bandit,within_block_rt_speedup,10,1,0.1,0.0179,0.4042,0.0514,0.1266,True,0,10,
qwen3-vl-235b-instruct,marbles_risk,above_chance_ev_optimal,5,0,0.0,0.0,0.4345,0.079,0.1671,False,5,10,
qwen3-vl-235b-instruct,marbles_risk,ev_difference_rt_effect,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,marbles_risk,ev_sensitivity,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,marbles_risk,magnitude_effect_high_payoff,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,moral_machine,age_preference_save_young,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,moral_machine,intervention_aversion,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,moral_machine,legality_preference_save_lawful,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,moral_machine,species_preference_save_human,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,moral_machine,utilitarian_preference,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,phishing_detection_v2,above_chance_discrimination,8,6,0.75,0.4093,0.9285,0.3821,0.32,True,0,8,
qwen3-vl-235b-instruct,phishing_detection_v2,above_chance_overall,8,4,0.5,0.2152,0.7848,0.2029,0.1518,True,0,8,
qwen3-vl-235b-instruct,phishing_detection_v2,learning_effect,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,phishing_detection_v2,practice_rt_speedup,8,2,0.25,0.0715,0.5907,0.0162,0.3776,True,0,8,
qwen3-vl-235b-instruct,random_dot_motion_v2,above_chance_low_coherence,1,0,0.0,0.0,0.7935,0.0385,0.0,False,9,10,
qwen3-vl-235b-instruct,random_dot_motion_v2,above_chance_overall,7,0,0.0,0.0,0.3543,-0.0729,0.0884,False,3,10,
qwen3-vl-235b-instruct,random_dot_motion_v2,coherence_accuracy_psychometric,2,0,0.0,0.0,0.6576,0.0434,0.2062,False,8,10,
qwen3-vl-235b-instruct,random_dot_motion_v2,coherence_rt_chronometric,1,0,0.0,0.0,0.7935,0.112,0.0,False,9,10,
qwen3-vl-235b-instruct,repeated_games,above_chance_coordination_bos,3,0,0.0,0.0,0.5615,-0.1222,0.2694,False,6,9,
qwen3-vl-235b-instruct,repeated_games,cooperation_when_opp_cooperated,0,0,,,,,,False,9,9,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,repeated_games,round_rt_speedup,4,1,0.25,0.0456,0.6994,-0.2009,0.2531,True,5,9,
qwen3-vl-235b-instruct,repeated_games,tit_for_tat_reciprocity_pd,0,0,,,,,,False,9,9,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,serial_recall_v2,above_chance_recall,4,4,1.0,0.5101,1.0,0.5125,0.0884,False,5,9,
qwen3-vl-235b-instruct,serial_recall_v2,high_vs_low_sim_advantage,4,0,0.0,0.0,0.4899,-0.1875,0.3146,False,5,9,
qwen3-vl-235b-instruct,serial_recall_v2,primacy_effect,4,0,0.0,0.0,0.4899,0.125,0.1021,False,5,9,
qwen3-vl-235b-instruct,serial_recall_v2,similarity_aids_recall,4,0,0.0,0.0,0.4899,-0.1697,0.2688,False,5,9,
qwen3-vl-235b-instruct,serial_recall_v2,similarity_rt_effect,4,1,0.25,0.0456,0.6994,-0.0576,0.4502,True,5,9,
qwen3-vl-235b-instruct,tiny_alchemy,above_chance_discovery,5,2,0.4,0.1176,0.7693,0.2701,0.2613,True,3,8,
qwen3-vl-235b-instruct,tiny_alchemy,non_redundant_attempts,1,1,1.0,0.2065,1.0,0.15,0.0,False,7,8,
qwen3-vl-235b-instruct,visual_recognition,above_chance_accuracy,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,visual_recognition,above_chance_discrimination,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
qwen3-vl-235b-instruct,visual_recognition,low_false_alarm_rate,0,0,,,,,,False,8,8,untestable in every session — no pass rate is defined
